Timestamp,Download_Mbps,Upload_Mbps,Ping(Idle)_Latency_ms,Ping(Idle)_Jitter_ms,Packet_Loss,Server_Name,Server_Location,Download_Latency_ms,Upload_Latency_ms,Result_URL
"09/25 22:50:22",85.255992,46.771424,34.123,7.479,0,"IPA CyberLab","Bunkyo",110.123,36.941,"https://www.speedtest.net/result/c/7b23bf9f-00f1-422d-bc54-3470bc5b2c74"
"09/25 23:00:40",56.452904,32.374368,71.415,28.217,20.333333333333332,"IPA CyberLab","Bunkyo",44.593,38.973,"https://www.speedtest.net/result/c/fa70526f-cdeb-455b-8f2c-ff836ed448b6"
"09/25 23:10:24",57.977536,27.48408,35.452,3.54,0,"IPA CyberLab","Bunkyo",41.128,41.967,"https://www.speedtest.net/result/c/519ae4f6-5586-48bb-8fab-0bcde546fe1c"
"09/25 23:20:24",64.086088,19.715848,38.087,2.649,8.035714285714286,"IPA CyberLab","Bunkyo",41.455,32.707,"https://www.speedtest.net/result/c/b221fbc1-53cf-465c-810f-e3fdf25a3a36"
"09/25 23:30:27",72.6428,37.078168,26.66,0.76,23.45679012345679,"IPA CyberLab","Bunkyo",58.212,40.567,"https://www.speedtest.net/result/c/0d6bfa85-df5f-4d5b-b13e-e98545365f5a"
"09/25 23:40:22",96.904312,55.043992,33.228,8.359,0,"IPA CyberLab","Bunkyo",55.69,34.867,"https://www.speedtest.net/result/c/5e7b14a0-4027-49c7-adfb-49a3d0538cc3"
"09/25 23:50:32",45.807256,17.688344,36.59,4.518,0.43478260869565216,"IPA CyberLab","Bunkyo",39.276,47.667,"https://www.speedtest.net/result/c/f501ce2d-8cea-49f6-af0a-ef712e66414d"
"09/26 00:00:22",53.798456,12.830312,47.777,28.524,0.43859649122807015,"IPA CyberLab","Bunkyo",39.435,40.372,"https://www.speedtest.net/result/c/64c0bb15-26a0-41dd-9b82-ab55430f2554"
"09/26 00:10:25",83.658432,43.243752,33.996,3.908,0,"IPA CyberLab","Bunkyo",63.398,35.902,"https://www.speedtest.net/result/c/784aa6f0-5054-492a-84fa-bb513358f47c"
"09/26 00:20:35",68.675424,27.748176,40.914,4.093,0.3333333333333333,"IPA CyberLab","Bunkyo",43.781,41.441,"https://www.speedtest.net/result/c/ca169430-7226-4c9a-aadb-f36e9af9ffbd"
"09/26 00:30:30",70.41488,39.51908,34.315,12.105,34.333333333333336,"IPA CyberLab","Bunkyo",35.358,29.81,"https://www.speedtest.net/result/c/b11f99d3-aba8-4d1b-9299-cdfd9bb8724b"
"09/26 00:40:27",57.509776,37.887016,24.053,2.077,0,"IPA CyberLab","Bunkyo",27.619,31.185,"https://www.speedtest.net/result/c/65073605-4661-4fee-a784-875244658922"
"09/26 00:50:26",50.878664,40.715512,43.647,9.731,0,"IPA CyberLab","Bunkyo",41.587,31.299,"https://www.speedtest.net/result/c/aa66225f-2843-40fd-b9df-a9a9b2e960cf"
"09/26 01:00:33",50.985608,40.25616,49.447,10.846,59.30232558139535,"IPA CyberLab","Bunkyo",49.811,44.164,"https://www.speedtest.net/result/c/64604c33-8eb5-47bc-8a98-c1b110d82e21"
"09/26 01:10:29",80.254624,43.626968,35.615,13.558,9,"IPA CyberLab","Bunkyo",44.456,32.712,"https://www.speedtest.net/result/c/9e699b22-4684-4f46-abed-c62336aaf8e2"
"09/26 01:20:25",69.329536,35.212856,38.715,9.601,3.7344398340248963,"IPA CyberLab","Bunkyo",39.47,39.663,"https://www.speedtest.net/result/c/58bf06cb-b9c3-4e90-b041-e4e53f60d80c"
"09/26 01:30:27",64.232064,38.881512,31.217,15.782,51.666666666666664,"IPA CyberLab","Bunkyo",36.374,34.655,"https://www.speedtest.net/result/c/5b0dad9b-a01c-4763-b794-21df2c9ed1d5"
"09/26 01:40:35",51.941992,37.793928,39.566,4.274,0.3333333333333333,"IPA CyberLab","Bunkyo",42.886,37.746,"https://www.speedtest.net/result/c/cab47f38-f5b4-4497-8047-715b057593ac"
"09/26 01:50:27",58.225248,30.69932,64.716,52.694,30.536912751677853,"IPA CyberLab","Bunkyo",37.136,31.839,"https://www.speedtest.net/result/c/bbc24848-9924-4cc9-9778-c8e0767174bc"
"09/26 02:00:29",58.207736,30.50944,39.145,5.749,58.641975308641975,"IPA CyberLab","Bunkyo",43.749,36.204,"https://www.speedtest.net/result/c/9569ae70-9d35-48ba-bb5d-0350215b8a3a"
"09/26 02:10:22",46.920088,39.940168,43.433,8.753,40.48582995951417,"IPA CyberLab","Bunkyo",40.918,30.208,"https://www.speedtest.net/result/c/0c6dd465-36fb-4472-abf7-4ee282900bce"
"09/26 02:20:37",67.029936,25.887584,79.968,22.016,14.381270903010034,"IPA CyberLab","Bunkyo",43.456,63.25,"https://www.speedtest.net/result/c/f6387195-7800-4492-9d11-af40df172222"
